position,title,year,duration,age_rating,imdb_rating,votes,metascore,plot,href,cover,cover_alt
24, Operation Raavan,No Year,No Duration,No Age Rating,"9,7"," (1,1 mil)",No Metascore,"A serial killer targets brides, while a magnate's son infiltrates a news channel, leading to a tense showdown between hunter and hunted.",https://www.imdb.com//title/tt28629230/?ref_=sr_t_24,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZWQyZDQzNDAtYzc3MC00ZTYyLTg5OWItZTFmYTUwNzhlZTJiXkEyXkFqcGc@._V1_QL75_UY207_CR34,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZWQyZDQzNDAtYzc3MC00ZTYyLTg5OWItZTFmYTUwNzhlZTJiXkEyXkFqcGc@._V1_QL75_UY207_CR34,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZWQyZDQzNDAtYzc3MC00ZTYyLTg5OWItZTFmYTUwNzhlZTJiXkEyXkFqcGc@._V1_QL75_UY311_CR50,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZWQyZDQzNDAtYzc3MC00ZTYyLTg5OWItZTFmYTUwNzhlZTJiXkEyXkFqcGc@._V1_QL75_UY414_CR67,0,280,414_.jpg 280w"
25, Marmadesam: Vidaathu Karuppu,No Year,No Duration,No Age Rating,"9,7", (909),No Metascore,"La historia misterio gira en torno al culto de Karuppu-Swami, junto con las extrañas y poco comunes muertes de varias personas, unas seguidas de las otras y los acontecimientos que se desencadenan en el pueblo de Thottakaramangalam.",https://www.imdb.com//title/tt10526388/?ref_=sr_t_25,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMDUwM2EyYTYtN2YzYi00YTgzLThlNWQtZTdhMzgxOTBjNmQ4XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMDUwM2EyYTYtN2YzYi00YTgzLThlNWQtZTdhMzgxOTBjNmQ4XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMDUwM2EyYTYtN2YzYi00YTgzLThlNWQtZTdhMzgxOTBjNmQ4XkEyXkFqcGc@._V1_QL75_UY311_CR5,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMDUwM2EyYTYtN2YzYi00YTgzLThlNWQtZTdhMzgxOTBjNmQ4XkEyXkFqcGc@._V1_QL75_UY414_CR6,0,280,414_.jpg 280w"
26, Laggam,No Year,No Duration,No Age Rating,"9,7"," (3,5 mil)",No Metascore,A family who passes through various harsh situations in life. Every situation tests their bonding but the family tries to overcome every situation.,https://www.imdb.com//title/tt32292009/?ref_=sr_t_26,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMDZmNDhjM2ItMmMyNy00NzlhLWEwMjAtNTE4M2VlZDM5YTk1XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMDZmNDhjM2ItMmMyNy00NzlhLWEwMjAtNTE4M2VlZDM5YTk1XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMDZmNDhjM2ItMmMyNy00NzlhLWEwMjAtNTE4M2VlZDM5YTk1XkEyXkFqcGc@._V1_QL75_UY311_CR5,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMDZmNDhjM2ItMmMyNy00NzlhLWEwMjAtNTE4M2VlZDM5YTk1XkEyXkFqcGc@._V1_QL75_UY414_CR6,0,280,414_.jpg 280w"
27, Mithila Makhaan,No Year,No Duration,No Age Rating,"9,7", (388),No Metascore,"An emotional and thrilling journey of Kranti Prakash who works in Toronto, for establishing his grandfather's company which was closed down 35 years ago in a small village in Bihar, India. Kranti, 32 works in a company in Toronto and comes to his village in Bihar after 23 years. In his short trip of one week he has to perform a small family ritual/puja and meet the girl with whom his mother wants him to get married. The village of his memories is no more the same, the place is marred with migration, corruption and apathy from all the quarters. Meanwhile he finds out that his grandfather used to be a Makhaan (a famous Agro product) farmer in 70s and was killed due to business rivalry. He leaves village with heavy heart after 4 days. Kranti reaches Delhi airport to catch his outbound flight but sudden surge of emotion and dramatic turnouts makes him come back to his village. He vows to start the company ""Mithila Makhaan Private Limited"" once again but the road to this entrepreneurial venture in hinterlands of India is not easy. In his pursuit, he fights against odds and especially the Makhaan Mafia Brahma Singh. Mithila Makhaan is a riveting story of triumph of human spirit.",https://www.imdb.com//title/tt5344460/?ref_=sr_t_27,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BNGVmNjA5MWEtMzE3OC00OGVhLWJjM2UtNTM3ZTk5NDVmMmNjXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BNGVmNjA5MWEtMzE3OC00OGVhLWJjM2UtNTM3ZTk5NDVmMmNjXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BNGVmNjA5MWEtMzE3OC00OGVhLWJjM2UtNTM3ZTk5NDVmMmNjXkEyXkFqcGc@._V1_QL75_UY311_CR5,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BNGVmNjA5MWEtMzE3OC00OGVhLWJjM2UtNTM3ZTk5NDVmMmNjXkEyXkFqcGc@._V1_QL75_UY414_CR6,0,280,414_.jpg 280w"
28, Kanni,No Year,No Duration,No Age Rating,"9,7", (173),No Metascore,"A mountain healer's magic basket curing deadly ailments is coveted by a ruthless gang who massacre her kin. Amid the carnage, can she escape their clutches?",https://www.imdb.com//title/tt32316129/?ref_=sr_t_28,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BYmI3NDNjOTYtMGJlYi00NjdlLWI4YWItMmVmNjYwZWYyNGVhXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BYmI3NDNjOTYtMGJlYi00NjdlLWI4YWItMmVmNjYwZWYyNGVhXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BYmI3NDNjOTYtMGJlYi00NjdlLWI4YWItMmVmNjYwZWYyNGVhXkEyXkFqcGc@._V1_QL75_UX210_CR0,2,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BYmI3NDNjOTYtMGJlYi00NjdlLWI4YWItMmVmNjYwZWYyNGVhXkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg 280w"
29, Park,No Year,No Duration,No Age Rating,"9,7", (358),No Metascore,"A couple runs a DTH shop. After getting engaged, they're kidnapped by gangsters. Unknowingly entering a haunted park, they become possessed and must escape the spirits.",https://www.imdb.com//title/tt33041909/?ref_=sr_t_29,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BOWNjZTM1YzEtZTQ5NS00M2YwLWExNGMtN2NkZThkYWExNzM1XkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BOWNjZTM1YzEtZTQ5NS00M2YwLWExNGMtN2NkZThkYWExNzM1XkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BOWNjZTM1YzEtZTQ5NS00M2YwLWExNGMtN2NkZThkYWExNzM1XkEyXkFqcGc@._V1_QL75_UY311_CR19,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BOWNjZTM1YzEtZTQ5NS00M2YwLWExNGMtN2NkZThkYWExNzM1XkEyXkFqcGc@._V1_QL75_UY414_CR26,0,280,414_.jpg 280w"
30, FICCI Frames,No Year,No Duration,No Age Rating,"9,7"," (5,5 mil)",No Metascore,Hande ErceI talked about her love of Bollywood films and the influence of Turkish drama in India. Ayushmann Khurrana spoke about the coming together of cultures through cinema and rise of quality content.,https://www.imdb.com//title/tt31638933/?ref_=sr_t_30,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMGM2MGUyZjItZDViNS00NGVmLWE2MWQtNDBkMmU2YWY2ZmZjXkEyXkFqcGc@._V1_QL75_UY207_CR34,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMGM2MGUyZjItZDViNS00NGVmLWE2MWQtNDBkMmU2YWY2ZmZjXkEyXkFqcGc@._V1_QL75_UY207_CR34,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMGM2MGUyZjItZDViNS00NGVmLWE2MWQtNDBkMmU2YWY2ZmZjXkEyXkFqcGc@._V1_QL75_UY311_CR50,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMGM2MGUyZjItZDViNS00NGVmLWE2MWQtNDBkMmU2YWY2ZmZjXkEyXkFqcGc@._V1_QL75_UY414_CR67,0,280,414_.jpg 280w"
31, Mango Mury,No Year,No Duration,No Age Rating,"9,7", (148),No Metascore,"Over the wall is 'a head'. On the sky is 'Ambili' (literally moon). The 'head' belongs to a man, Prabhakaramon, aged 60, who is in a deep dilemma between the society's moral reality and his own fantasies. Adjacent to his compound wall is 'Soyo Hotel', to where his voyeuristic interests are anchored. The 'scenes' from the hotel room invokes a regret in him about his wasted off teenage and his unused vibrant youth. The voyeuristic sights of lust, passion and music of the present-day youth add multiple colors not only to the windows of Soyo Hotel but also to the monochromatic mindset of Prabhakaramon. The doors in the hotel are often opened with a kiss and so is the mind of our protagonist who sees everything that happens inside the hotel room. At last, Prabhakaramon decides to abandon his moral baggage and jumps over the compound wall along with Ambili, his beloved.",https://www.imdb.com//title/tt29028562/?ref_=sr_t_31,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZmQ1MjAyMjUtYzFjMy00YjEyLWE4ZWItZDNhOGVlNmJkNTA3XkEyXkFqcGc@._V1_QL75_UY207_CR114,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZmQ1MjAyMjUtYzFjMy00YjEyLWE4ZWItZDNhOGVlNmJkNTA3XkEyXkFqcGc@._V1_QL75_UY207_CR114,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZmQ1MjAyMjUtYzFjMy00YjEyLWE4ZWItZDNhOGVlNmJkNTA3XkEyXkFqcGc@._V1_QL75_UY311_CR171,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZmQ1MjAyMjUtYzFjMy00YjEyLWE4ZWItZDNhOGVlNmJkNTA3XkEyXkFqcGc@._V1_QL75_UY414_CR228,0,280,414_.jpg 280w"
32, Taj,No Year,No Duration,No Age Rating,"9,7", (553),No Metascore,No Plot,https://www.imdb.com//title/tt32765580/?ref_=sr_t_32,No Cover,No rcset Text
33, India's Sons,No Year,No Duration,No Age Rating,"9,7", (347),No Metascore,India's Sons is a feature length documentary film throwing light on lives that have been destroyed because of false accusations of rape.,https://www.imdb.com//title/tt20603460/?ref_=sr_t_33,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BNTdhMGQyMGMtM2M2Yi00OWY4LWI5ZjQtOWM3MjRhNjNjZTM1XkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BNTdhMGQyMGMtM2M2Yi00OWY4LWI5ZjQtOWM3MjRhNjNjZTM1XkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BNTdhMGQyMGMtM2M2Yi00OWY4LWI5ZjQtOWM3MjRhNjNjZTM1XkEyXkFqcGc@._V1_QL75_UY311_CR19,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BNTdhMGQyMGMtM2M2Yi00OWY4LWI5ZjQtOWM3MjRhNjNjZTM1XkEyXkFqcGc@._V1_QL75_UY414_CR26,0,280,414_.jpg 280w"
34, Ellige Payana Yavudo Daari,No Year,No Duration,No Age Rating,"9,7", (236),No Metascore,"A secluded mountain town, where idyllic lives intertwine with sinister desires, explores themes of love,loss, and revenge amidst a backdrop of lush beauty.",https://www.imdb.com//title/tt16986704/?ref_=sr_t_34,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZjUwMzExZDgtNTIyYy00OGMxLWE3MTQtNGE2ZjVhZmZiM2ZmXkEyXkFqcGc@._V1_QL75_UX140_CR0,8,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZjUwMzExZDgtNTIyYy00OGMxLWE3MTQtNGE2ZjVhZmZiM2ZmXkEyXkFqcGc@._V1_QL75_UX140_CR0,8,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZjUwMzExZDgtNTIyYy00OGMxLWE3MTQtNGE2ZjVhZmZiM2ZmXkEyXkFqcGc@._V1_QL75_UX210_CR0,12,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZjUwMzExZDgtNTIyYy00OGMxLWE3MTQtNGE2ZjVhZmZiM2ZmXkEyXkFqcGc@._V1_QL75_UX280_CR0,15,280,414_.jpg 280w"
35, Mystery,No Year,No Duration,No Age Rating,"9,7", (158),No Metascore,"The scenes of the murder in a farm house are important to the movie on three aspects: how did it happen, who did it and why did it happen.",https://www.imdb.com//title/tt29173926/?ref_=sr_t_35,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMzJlNzZhODItMWVlOS00NThmLTkzMGQtY2I0OGExMzI4YmZiXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMzJlNzZhODItMWVlOS00NThmLTkzMGQtY2I0OGExMzI4YmZiXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMzJlNzZhODItMWVlOS00NThmLTkzMGQtY2I0OGExMzI4YmZiXkEyXkFqcGc@._V1_QL75_UX210_CR0,2,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMzJlNzZhODItMWVlOS00NThmLTkzMGQtY2I0OGExMzI4YmZiXkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg 280w"
36, Theedhum Soodhum Endhan Mugavari,No Year,No Duration,No Age Rating,"9,7", (119),No Metascore,Shiva and Jessy are in love but Jessy's father strongly opposes the union. Shiva joins hands with a criminal with his own agenda. Will it end well for Shiva and Jessy?,https://www.imdb.com//title/tt30070990/?ref_=sr_t_36,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BYjMzNzYzNTUtNDA5OS00NTc2LWE5YmItZWE1NDdlNWYzNGFmXkEyXkFqcGc@._V1_QL75_UX140_CR0,11,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BYjMzNzYzNTUtNDA5OS00NTc2LWE5YmItZWE1NDdlNWYzNGFmXkEyXkFqcGc@._V1_QL75_UX140_CR0,11,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BYjMzNzYzNTUtNDA5OS00NTc2LWE5YmItZWE1NDdlNWYzNGFmXkEyXkFqcGc@._V1_QL75_UX210_CR0,17,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BYjMzNzYzNTUtNDA5OS00NTc2LWE5YmItZWE1NDdlNWYzNGFmXkEyXkFqcGc@._V1_QL75_UX280_CR0,23,280,414_.jpg 280w"
37, IQ (Power of student),No Year,No Duration,No Age Rating,"9,7", (208),No Metascore,This is a movie related to a brain.lead actress is a very intelligent middle class girl with high IQ antagonist tries to threaten her and try to misuse her memory power and protagonist tries to saves her from them.,https://www.imdb.com//title/tt28116291/?ref_=sr_t_37,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMjUyNDdmOTYtZjAyZi00Y2JlLTgyNTMtNjdjNmNlZDlhMzNjXkEyXkFqcGc@._V1_QL75_UY207_CR142,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMjUyNDdmOTYtZjAyZi00Y2JlLTgyNTMtNjdjNmNlZDlhMzNjXkEyXkFqcGc@._V1_QL75_UY207_CR142,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMjUyNDdmOTYtZjAyZi00Y2JlLTgyNTMtNjdjNmNlZDlhMzNjXkEyXkFqcGc@._V1_QL75_UY311_CR213,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMjUyNDdmOTYtZjAyZi00Y2JlLTgyNTMtNjdjNmNlZDlhMzNjXkEyXkFqcGc@._V1_QL75_UY414_CR284,0,280,414_.jpg 280w"
38, Tribute,No Year,No Duration,No Age Rating,"9,7", (159),No Metascore,"When Amrita, a married woman, met Sahir, a budding poet and lyricist, for the first time. A report in Firstpost says it was at a (poetry reading session) at a village somewhere between Lahore and Delhi. It is said that their romance began.",https://www.imdb.com//title/tt32236372/?ref_=sr_t_38,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BNjE5NWY2N2UtNzA2Yy00ODY2LWFmZmMtODE2MDE2YWFmNzVhXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BNjE5NWY2N2UtNzA2Yy00ODY2LWFmZmMtODE2MDE2YWFmNzVhXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BNjE5NWY2N2UtNzA2Yy00ODY2LWFmZmMtODE2MDE2YWFmNzVhXkEyXkFqcGc@._V1_QL75_UY311_CR5,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BNjE5NWY2N2UtNzA2Yy00ODY2LWFmZmMtODE2MDE2YWFmNzVhXkEyXkFqcGc@._V1_QL75_UY414_CR7,0,280,414_.jpg 280w"
39, Aade Nam God,No Year,No Duration,No Age Rating,"9,7", (189),No Metascore,No Plot,https://www.imdb.com//title/tt29365204/?ref_=sr_t_39,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BODEzZWRmMWYtMTA0MS00YjJhLWIzMTgtY2ZkODJlZGZiOGE4XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BODEzZWRmMWYtMTA0MS00YjJhLWIzMTgtY2ZkODJlZGZiOGE4XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BODEzZWRmMWYtMTA0MS00YjJhLWIzMTgtY2ZkODJlZGZiOGE4XkEyXkFqcGc@._V1_QL75_UX210_CR0,2,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BODEzZWRmMWYtMTA0MS00YjJhLWIzMTgtY2ZkODJlZGZiOGE4XkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg 280w"
40, Stories with Abhash Jha,No Year,No Duration,No Age Rating,"9,7", (850),No Metascore,"Abhash Jha is a Singer , Songwriter , Composer , Poet and a Storyteller. Here, he narrates stories and poems which you don't want to miss.",https://www.imdb.com//title/tt21235158/?ref_=sr_t_40,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMjQwMTkwYzMtMGVlMS00ZmJmLWJmZWYtNjE2NDVlMjNiYmEzXkEyXkFqcGc@._V1_QL75_UY207_CR34,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMjQwMTkwYzMtMGVlMS00ZmJmLWJmZWYtNjE2NDVlMjNiYmEzXkEyXkFqcGc@._V1_QL75_UY207_CR34,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMjQwMTkwYzMtMGVlMS00ZmJmLWJmZWYtNjE2NDVlMjNiYmEzXkEyXkFqcGc@._V1_QL75_UY311_CR50,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMjQwMTkwYzMtMGVlMS00ZmJmLWJmZWYtNjE2NDVlMjNiYmEzXkEyXkFqcGc@._V1_QL75_UY414_CR67,0,280,414_.jpg 280w"
41, Rocket Driver,No Year,No Duration,No Age Rating,"9,6", (1 mil),No Metascore,"An autorickshaw driver frequently expresses discontent with life's aspects but harbors an ambitious dream of changing the world, though his actions fail to align with his aspirations.",https://www.imdb.com//title/tt32639066/?ref_=sr_t_41,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BYjdiN2MwODItZTc4MC00ZDRiLTllMmItZDNkYjFjNjQ5ZWFjXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BYjdiN2MwODItZTc4MC00ZDRiLTllMmItZDNkYjFjNjQ5ZWFjXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BYjdiN2MwODItZTc4MC00ZDRiLTllMmItZDNkYjFjNjQ5ZWFjXkEyXkFqcGc@._V1_QL75_UX210_CR0,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BYjdiN2MwODItZTc4MC00ZDRiLTllMmItZDNkYjFjNjQ5ZWFjXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg 280w"
42, Aalan,No Year,No Duration,No Age Rating,"9,6", (1 mil),No Metascore,"The life of a writer who discovers a deep connection to their past life. As they delve into their memories, they unravel a story of heartache, resilience, and the power of love that transcends time.",https://www.imdb.com//title/tt30447798/?ref_=sr_t_42,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BNDc5ZGRjNTgtNDQ1Mi00MWMzLWFjNzgtMDdiN2QzMGQ3MDI5XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BNDc5ZGRjNTgtNDQ1Mi00MWMzLWFjNzgtMDdiN2QzMGQ3MDI5XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BNDc5ZGRjNTgtNDQ1Mi00MWMzLWFjNzgtMDdiN2QzMGQ3MDI5XkEyXkFqcGc@._V1_QL75_UX210_CR0,1,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BNDc5ZGRjNTgtNDQ1Mi00MWMzLWFjNzgtMDdiN2QzMGQ3MDI5XkEyXkFqcGc@._V1_QL75_UX280_CR0,1,280,414_.jpg 280w"
43, Aaragan,No Year,No Duration,No Age Rating,"9,6", (1 mil),No Metascore,"Saravanan & Magizhnila, in love but financially unstable, see hope when Magizhnila lands a better job in a new town. However, her path soon fills with unexpected struggles. Her journey through these challenges is the essence of the story.",https://www.imdb.com//title/tt33348082/?ref_=sr_t_43,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMTFmYTAzNjQtMWQ1MC00ODc1LWEwMWUtNzI5OWE0MjIyMzgzXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMTFmYTAzNjQtMWQ1MC00ODc1LWEwMWUtNzI5OWE0MjIyMzgzXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMTFmYTAzNjQtMWQ1MC00ODc1LWEwMWUtNzI5OWE0MjIyMzgzXkEyXkFqcGc@._V1_QL75_UY311_CR19,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMTFmYTAzNjQtMWQ1MC00ODc1LWEwMWUtNzI5OWE0MjIyMzgzXkEyXkFqcGc@._V1_QL75_UY414_CR26,0,280,414_.jpg 280w"
44, Main Ladega,No Year,No Duration,No Age Rating,"9,6", (218),No Metascore,"A young boy escapes his troubled home, finding solace in boxing at an army hostel, where he channels his pain into strength to protect his family.",https://www.imdb.com//title/tt32023291/?ref_=sr_t_44,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BOGU3NDM5NDctM2YzNy00YjhjLWEwZDQtYTllOTU0ZTBiYzk4XkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BOGU3NDM5NDctM2YzNy00YjhjLWEwZDQtYTllOTU0ZTBiYzk4XkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BOGU3NDM5NDctM2YzNy00YjhjLWEwZDQtYTllOTU0ZTBiYzk4XkEyXkFqcGc@._V1_QL75_UY311_CR19,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BOGU3NDM5NDctM2YzNy00YjhjLWEwZDQtYTllOTU0ZTBiYzk4XkEyXkFqcGc@._V1_QL75_UY414_CR26,0,280,414_.jpg 280w"
45, Upanishad Ganga,No Year,No Duration,No Age Rating,"9,6"," (1,1 mil)",No Metascore,Short stories exploring today's concepts in ancient Indian contexts.,https://www.imdb.com//title/tt5961444/?ref_=sr_t_45,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BNDZjYjljYWUtMmUzOC00NjNiLWJjNDktODdlZmZiYmUxMDg5XkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BNDZjYjljYWUtMmUzOC00NjNiLWJjNDktODdlZmZiYmUxMDg5XkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BNDZjYjljYWUtMmUzOC00NjNiLWJjNDktODdlZmZiYmUxMDg5XkEyXkFqcGc@._V1_QL75_UY311_CR2,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BNDZjYjljYWUtMmUzOC00NjNiLWJjNDktODdlZmZiYmUxMDg5XkEyXkFqcGc@._V1_QL75_UY414_CR3,0,280,414_.jpg 280w"
46, Maantrika,No Year,No Duration,No Age Rating,"9,6", (261),No Metascore,GHOST HUNTER Brilliant Director of Indian Cinema going to rule in Coming Days.,https://www.imdb.com//title/tt31975872/?ref_=sr_t_46,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BYzA4M2I3ZGQtNDk0Ny00MGFjLTg2YzUtMWNiM2RhZDE1OTViXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BYzA4M2I3ZGQtNDk0Ny00MGFjLTg2YzUtMWNiM2RhZDE1OTViXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BYzA4M2I3ZGQtNDk0Ny00MGFjLTg2YzUtMWNiM2RhZDE1OTViXkEyXkFqcGc@._V1_QL75_UY311_CR5,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BYzA4M2I3ZGQtNDk0Ny00MGFjLTg2YzUtMWNiM2RhZDE1OTViXkEyXkFqcGc@._V1_QL75_UY414_CR7,0,280,414_.jpg 280w"
47, The Rulers,No Year,No Duration,No Age Rating,"9,6", (465),No Metascore,"Poor villager Roopa falls for wealthy Sandeep who impregnates her, then deceives. With activist Sandesh's help, she forces Sandeep to marry but faces abuse from his family. Sandesh takes legal action. Will justice prevail for Roopa?",https://www.imdb.com//title/tt32765751/?ref_=sr_t_47,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BNGYxN2M4ODktNjI0Ny00ODUxLWIxYjItMzQ0NmYzZWZjNjhhXkEyXkFqcGc@._V1_QL75_UX140_CR0,48,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BNGYxN2M4ODktNjI0Ny00ODUxLWIxYjItMzQ0NmYzZWZjNjhhXkEyXkFqcGc@._V1_QL75_UX140_CR0,48,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BNGYxN2M4ODktNjI0Ny00ODUxLWIxYjItMzQ0NmYzZWZjNjhhXkEyXkFqcGc@._V1_QL75_UX210_CR0,72,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BNGYxN2M4ODktNjI0Ny00ODUxLWIxYjItMzQ0NmYzZWZjNjhhXkEyXkFqcGc@._V1_QL75_UX280_CR0,96,280,414_.jpg 280w"
